transaction_id,account_id,merchant_id,transaction_ts,amount,direction
t0000113,a000757,m036,2024-07-24 18:03:35,74.15,debit
t0000114,a000397,m016,2024-09-23 13:21:24,39.27,debit
t0000115,a000016,m036,2024-08-08 04:00:59,4.35,debit
t0000116,a000061,m086,2024-07-30 03:10:19,30.76,debit
t0000117,a000303,m057,2024-08-13 05:30:07,11.35,debit
t0000118,a000063,m065,2024-10-25 09:01:23,55.73,debit
t0000119,a000036,m052,2024-10-10 06:34:40,11.6,debit
t0000120,a001421,m067,2024-12-03 12:40:54,45.76,debit
t0000121,a000429,m008,2024-11-15 10:34:59,14.97,debit
t0000122,a000413,m041,2024-11-06 19:33:21,79.32,debit
t0000123,a000469,m055,2024-09-04 04:52:21,15.86,debit
t0000124,a001400,m069,2024-08-14 05:40:44,55.14,debit
t0000125,a001020,m052,2024-07-14 14:17:46,44.06,debit
t0000126,a000277,m019,2024-10-30 17:46:00,9.16,debit
t0000127,a000640,m051,2024-09-07 02:14:12,7.43,credit
t0000128,a000532,m035,2024-09-13 16:16:18,5.02,debit
t0000129,a000800,m002,2024-10-17 13:19:59,33.22,debit
t0000130,a001298,m077,2024-11-26 08:26:20,221.04,credit
t0000131,a001017,m012,2024-11-04 22:10:49,124.64,debit
t0000132,a000211,m050,2024-10-30 14:42:57,26.53,debit
t0000133,a000100,m084,2024-09-04 01:32:17,13.44,debit
t0000134,a001281,m063,2024-08-03 17:49:39,46.97,credit
t0000135,a000014,m002,2024-10-17 21:34:34,17.15,debit
t0000136,a001281,m015,2024-08-08 03:08:30,16.86,debit
t0000137,a000860,m028,2024-11-07 12:31:53,43.71,debit
t0000138,a000142,m006,2024-07-05 14:26:02,48.94,debit
t0000139,a001153,m099,2024-07-27 00:47:05,15.27,debit
t0000140,a000021,m012,2024-07-08 18:55:32,44.81,debit
t0000141,a000671,m090,2024-12-14 06:38:32,23.23,debit
t0000142,a000508,m069,2024-10-02 16:49:58,79.6,debit
t0000143,a000740,m093,2024-12-30 01:18:00,161.66,debit
t0000144,a000343,m053,2024-08-16 15:37:20,16.16,debit
t0000145,a000359,m077,2024-10-25 16:39:32,19.3,debit
t0000146,a000901,m001,2024-11-03 15:04:12,95.06,debit
t0000147,a000203,m065,2024-12-21 13:45:21,14.22,debit
t0000148,a000186,m098,2024-07-29 06:37:42,18.17,debit
t0000149,a001072,m093,2024-08-18 03:59:15,120.94,debit
t0000150,a000354,m052,2024-09-20 11:17:47,23.55,debit
t0000151,a000439,m017,2024-07-24 15:00:26,38.87,debit
t0000152,a000545,m033,2024-10-06 11:47:24,22.52,debit
t0000153,a000161,m013,2024-10-20 07:08:14,52.56,debit
t0000154,a000815,m040,2024-10-04 09:19:07,5.1,debit
t0000155,a001162,m015,2024-07-24 05:49:51,6.08,debit
t0000156,a001232,m022,2024-07-15 20:16:04,35.49,debit
t0000157,a001270,m049,2024-07-12 18:04:43,199.64,debit
t0000158,a000399,m046,2024-09-25 05:27:00,84.04,debit
t0000159,a001219,m071,2024-09-22 12:44:49,21.96,credit
t0000160,a001187,m042,2024-12-02 07:32:29,549.51,debit
t0000161,a000957,m037,2024-07-27 11:46:12,107.38,credit
t0000162,a000818,m007,2024-10-17 08:50:24,34.88,debit
t0000163,a000997,m011,2024-12-07 21:58:19,33.78,debit
t0000164,a000241,m096,2024-08-11 04:42:25,5.75,debit
t0000165,a000794,m056,2024-12-18 20:58:24,22.1,debit
t0000166,a001000,m001,2024-09-07 15:32:30,44.29,debit
t0000167,a001051,m024,2024-08-29 17:39:38,8.74,debit
t0000168,a001111,m074,2024-12-22 05:12:15,154.03,debit
t0000169,a000325,m034,2024-07-14 00:01:57,88.45,debit
t0000170,a000890,m036,2024-09-13 17:02:01,57.29,credit
t0000171,a001296,m003,2024-11-20 14:46:00,13.13,debit
t0000172,a000191,m031,2024-08-28 15:27:02,235.09,debit
t0000173,a000181,m056,2024-11-27 03:53:35,32.06,debit
t0000174,a000464,m073,2024-12-28 11:32:20,79.81,debit
t0000175,a000078,m034,2024-07-16 13:16:38,76.07,debit
t0000176,a000273,m093,2024-10-11 01:03:09,7.79,debit
t0000177,a000079,m100,2024-11-21 21:03:45,25.28,debit
t0000178,a000690,m041,2024-08-11 21:53:42,28.34,debit
t0000179,a001027,m099,2024-11-04 19:09:05,98.53,debit
t0000180,a000844,m012,2024-10-04 14:27:52,10.81,debit
t0000181,a001126,m097,2024-08-11 07:41:29,189.46,debit
t0000182,a000538,m038,2024-11-04 12:13:39,10.75,debit
t0000183,a000177,m068,2024-12-24 10:37:25,191.55,debit
t0000184,a000231,m016,2024-09-14 07:57:43,30.83,debit
t0000185,a000911,m070,2024-10-27 13:27:53,68.73,debit
t0000186,a000993,m080,2024-07-18 12:54:53,12.7,debit
t0000187,a000222,m073,2024-10-24 03:53:49,17921.9,debit
t0000188,a000519,m088,2024-09-15 00:55:51,23.18,debit
t0000189,a000082,m005,2024-09-11 06:42:19,19.43,debit
t0000190,a000154,m070,2024-09-03 05:44:32,150.14,debit
t0000191,a000041,m089,2024-12-28 15:51:50,43.12,debit
t0000192,a000357,m028,2024-12-16 19:43:10,20.8,debit
t0000193,a000819,m086,2024-08-16 01:15:52,118.63,debit
t0000194,a000446,m075,2024-11-11 20:01:24,49.74,debit
t0000195,a000125,m094,2024-10-10 14:45:55,16.61,debit
t0000196,a001384,m037,2024-07-28 18:59:52,7.36,debit
t0000197,a000317,m080,2024-09-23 20:43:01,16.25,debit
t0000198,a001010,m027,2024-11-01 05:43:30,30.72,credit
t0000199,a001344,m025,2024-09-20 06:31:06,10.37,debit
t0000200,a000094,m034,2024-09-28 22:14:30,3.49,debit
t0000201,a001345,m094,2024-10-18 06:04:59,61.8,debit
t0000202,a000306,m030,2024-07-30 16:42:43,39.43,debit
t0000203,a001000,m066,2024-08-02 20:54:23,16.11,debit
t0000204,a000374,m074,2024-12-04 15:56:23,34.22,debit
t0000205,a000914,m044,2024-08-22 21:27:02,32.17,debit
t0000206,a000022,m006,2024-11-18 06:10:35,4.21,debit
t0000207,a001045,m018,2024-09-21 11:28:52,19.8,debit
t0000208,a000389,m061,2024-07-13 09:45:04,95.54,debit
t0000209,a001455,m092,2024-08-25 18:50:08,54.82,debit
t0000210,a000243,m065,2024-12-30 19:25:24,28.39,credit
t0000211,a000826,m004,2024-12-11 08:06:22,39.81,debit
t0000212,a000446,m014,2024-07-18 16:14:51,37.41,debit
t0000213,a000911,m046,2024-09-03 00:40:44,31.45,debit
t0000214,a000335,m032,2024-09-24 05:11:10,48.38,credit
t0000215,a000817,m066,2024-12-04 19:47:29,11.66,debit
t0000216,a000867,m082,2024-07-27 16:45:42,45.15,debit
t0000217,a001361,m028,2024-09-27 18:44:41,44.8,credit
t0000218,a001276,m075,2024-09-08 22:44:07,34.52,debit
t0000219,a000386,m051,2024-08-13 17:15:51,66.81,debit
t0000220,a000231,m045,2024-09-17 05:46:49,81.02,debit
t0000221,a000419,m011,2024-11-20 13:56:56,49.7,debit
t0000222,a001275,m057,2024-11-11 09:24:38,101.12,debit
t0000223,a001077,m081,2024-10-14 01:25:25,26.78,credit
t0000224,a000870,m094,2024-12-14 06:11:12,140.38,debit
t0000225,a001013,m090,2024-11-20 00:30:19,35.2,debit
t0000226,a001358,m083,2024-09-09 15:29:49,57.36,debit
t0000227,a000102,m061,2024-12-10 07:51:19,7.78,debit
t0000228,a001448,m017,2024-07-12 05:32:47,33.38,debit
t0000229,a001467,m053,2024-10-04 21:58:43,6.98,debit
t0000230,a000373,m060,2024-11-19 10:57:33,59.06,credit
t0000231,a001445,m002,2024-12-27 23:59:39,40.82,credit
t0000232,a000942,m083,2024-09-26 00:39:48,100.63,debit
t0000233,a001398,m078,2024-09-10 10:06:31,32.29,debit
t0000234,a000788,m011,2024-09-05 21:58:49,68.19,debit
t0000235,a001252,m022,2024-09-01 23:38:48,30.77,debit
t0000236,a000500,m065,2024-09-04 13:48:55,52.27,debit
t0000237,a001172,m072,2024-11-27 14:38:25,10.9,debit
t0000238,a001460,m005,2024-10-28 03:57:13,114.36,debit
t0000239,a001146,m016,2024-12-17 07:50:54,19.27,debit
t0000240,a001239,m017,2024-07-26 09:36:04,70.26,debit
t0000241,a000455,m024,2024-12-29 19:13:01,16.4,debit
t0000242,a000732,m006,2024-07-07 04:02:45,238.0,debit
t0000243,a001005,m059,2024-09-23 03:23:58,54.24,debit
t0000244,a000831,m001,2024-10-15 16:08:51,43.7,debit
t0000245,a000050,m062,2024-07-25 11:35:44,24.39,debit
t0000246,a000901,m003,2024-11-17 12:39:16,26.35,debit
t0000247,a000871,m062,2024-12-28 12:52:08,53.49,credit
t0000248,a000125,m078,2024-08-26 02:14:34,74.23,debit
t0000249,a001422,m019,2024-12-28 14:45:09,29.87,debit
t0000250,a000178,m089,2024-11-13 02:08:09,18.77,credit
t0000251,a001096,m005,2024-08-19 01:54:22,34.76,debit
t0000252,a001248,m035,2024-11-20 08:52:36,78.06,debit
t0000253,a000471,m052,2024-11-29 00:16:13,55.01,credit
t0000254,a001426,m077,2024-07-07 05:16:33,84.92,debit
t0000255,a000803,m016,2024-08-14 09:13:39,57.29,debit
t0000256,a000033,m080,2024-12-29 22:52:02,5.33,debit
t0000257,a001450,m045,2024-09-09 09:39:14,17.84,debit
t0000258,a001042,m086,2024-09-03 06:51:55,8.85,debit
t0000259,a000191,m073,2024-12-31 18:56:19,51.22,credit
t0000260,a000384,m067,2024-07-30 07:24:45,22.15,credit
t0000261,a000675,m014,2024-09-17 03:48:05,13.22,debit
t0000262,a000097,m078,2024-12-30 22:04:58,36.99,debit
t0000263,a000654,m017,2024-08-26 17:26:24,30.1,debit
t0000264,a001178,m026,2024-09-10 15:27:48,137.58,debit
t0000265,a001097,m050,2024-11-09 01:53:17,824.37,debit
t0000266,a000681,m035,2024-10-29 16:13:55,33.22,debit
t0000267,a000192,m006,2024-11-16 17:59:08,43.0,credit
t0000268,a000120,m001,2024-10-08 15:57:01,18.82,debit
t0000269,a000270,m022,2024-12-17 07:22:23,3.67,debit
t0000270,a000233,m018,2024-08-21 23:59:39,14.87,credit
t0000271,a000868,m026,2024-07-11 20:58:53,46.87,debit
t0000272,a001212,m076,2024-07-29 21:32:52,20.8,debit
t0000273,a001285,m076,2024-08-17 23:55:24,70.81,debit
t0000274,a000556,m083,2024-07-12 01:29:12,5.18,debit
t0000275,a000358,m032,2024-07-09 21:44:20,11.99,debit
t0000276,a000976,m100,2024-11-18 12:00:27,20.72,debit
t0000277,a001015,m058,2024-11-19 02:47:05,470.37,credit
t0000278,a001166,m033,2024-12-05 11:23:02,176.48,debit
t0000279,a000797,m069,2024-11-02 00:08:03,553.67,debit
t0000280,a001079,m098,2024-10-24 06:41:22,30.03,debit
t0000281,a000155,m009,2024-09-15 17:35:43,89.03,debit
t0000282,a000345,m094,2024-08-05 01:50:40,175.88,debit
t0000283,a000098,m083,2024-08-17 07:49:10,19.86,debit
t0000284,a000750,m016,2024-12-04 18:50:22,2.33,debit
t0000285,a001015,m084,2024-11-20 23:10:36,11.25,credit
t0000286,a001070,m084,2024-08-20 04:48:17,58.66,debit
t0000287,a000206,m032,2024-09-16 19:34:42,15.98,debit
t0000288,a000009,m049,2024-07-21 05:44:42,56.3,credit
t0000289,a000110,m078,2024-11-15 01:31:12,180.12,debit
t0000290,a000453,m052,2024-12-28 10:53:24,104.74,debit
t0000291,a000164,m066,2024-11-19 12:35:22,6.26,debit
t0000292,a001252,m030,2024-08-10 20:55:04,76.21,debit
t0000293,a000157,m029,2024-10-15 16:51:43,13.46,debit
t0000294,a000627,m005,2024-10-08 21:32:10,47.67,debit
t0000295,a000097,m076,2024-08-04 10:53:28,73.75,debit
t0000296,a000764,m016,2024-07-31 06:32:53,7.34,debit
t0000297,a000959,m066,2024-11-15 04:10:29,53.65,debit
t0000298,a000460,m060,2024-12-08 09:28:19,243.21,credit
t0000299,a001232,m001,2024-10-19 16:08:59,25.0,debit
t0000300,a000027,m054,2024-10-11 12:46:40,72.05,debit
t0000301,a000299,m044,2024-09-15 04:11:58,43.03,debit
t0000302,a001185,m058,2024-07-23 20:35:20,32.41,debit
t0000303,a001372,m009,2024-09-13 03:51:17,42.69,credit
t0000304,a000946,m080,2024-10-19 19:51:00,53.73,debit
t0000305,a000506,m048,2024-10-25 20:08:54,30.54,credit
t0000306,a000390,m093,2024-08-16 03:36:43,26.07,credit
t0000307,a000688,m001,2024-10-21 02:12:13,160.56,debit
t0000308,a000640,m030,2024-08-09 18:48:50,9.76,debit
t0000309,a000941,m099,2024-10-04 15:35:41,77.39,debit
t0000310,a000447,m081,2024-09-10 07:36:21,444.55,debit
t0000311,a000995,m034,2024-11-03 00:19:13,4.7,debit
t0000312,a000825,m002,2024-10-05 15:40:00,87.8,debit
t0000313,a000777,m081,2024-09-26 20:32:42,18.31,debit
t0000314,a000997,m055,2024-11-02 12:10:34,111.63,debit
t0000315,a000721,m022,2024-08-15 13:31:41,78.64,debit
t0000316,a001365,m083,2024-08-07 03:41:20,46.06,debit
t0000317,a000552,m051,2024-12-21 06:35:00,43.06,credit
t0000318,a001108,m004,2024-12-26 07:43:40,107.56,debit
t0000319,a001399,m076,2024-07-20 08:56:10,14.58,debit
t0000320,a000374,m082,2024-08-21 20:15:48,5.22,debit
t0000321,a000476,m063,2024-12-02 01:07:06,77.59,debit
t0000322,a000705,m026,2024-08-16 14:29:40,79.06,debit
t0000323,a000270,m089,2024-08-21 16:38:26,3.41,credit
t0000324,a001044,m059,2024-11-10 02:18:17,37.78,debit
t0000325,a000942,m041,2024-08-04 07:40:26,31.54,debit
t0000326,a000124,m055,2024-11-16 20:39:30,9.56,debit
t0000327,a000802,m017,2024-11-29 12:59:04,143.51,debit
t0000328,a001045,m052,2024-09-27 14:48:00,96.65,debit
t0000329,a000869,m011,2024-07-31 21:46:32,41.3,debit
t0000330,a000325,m008,2024-11-16 00:55:31,15.25,debit
t0000331,a000501,m094,2024-10-04 16:23:46,14.52,credit
t0000332,a000768,m051,2024-09-30 02:34:02,9.07,debit
t0000333,a001458,m086,2024-07-19 23:51:28,141.46,debit
t0000334,a000864,m038,2024-12-19 01:36:17,16.04,debit
t0000335,a000978,m085,2024-11-05 17:25:29,15.68,debit
t0000336,a000249,m054,2024-07-08 08:22:48,34.19,debit
t0000337,a000287,m028,2024-11-08 11:04:48,37.66,debit
t0000338,a000124,m075,2024-11-30 01:59:33,83.6,debit
t0000339,a000413,m016,2024-10-14 22:10:57,19.26,debit
t0000340,a000506,m042,2024-08-22 10:18:55,65.18,debit
t0000341,a000873,m097,2024-09-01 14:58:31,71.3,debit
t0000342,a000924,m027,2024-12-27 09:40:01,17.63,debit
t0000343,a000990,m036,2024-12-18 16:16:16,8.01,credit
t0000344,a001440,m026,2024-12-08 07:39:47,33.18,debit
t0000345,a000155,m031,2024-08-24 01:35:31,71.21,debit
t0000346,a000784,m054,2024-12-15 02:21:26,35.97,debit
t0000347,a000657,m026,2024-07-29 03:50:20,32.16,debit
t0000348,a000338,m017,2024-07-21 07:47:40,4.43,debit
t0000349,a000630,m012,2024-08-10 20:14:09,118.38,credit
t0000350,a001460,m029,2024-12-03 00:50:51,35.06,debit
t0000351,a000821,m003,2024-09-01 20:28:16,37.41,credit
t0000352,a001464,m074,2024-11-07 04:15:09,92.31,debit
t0000353,a001467,m060,2024-12-23 20:45:07,16.63,debit
t0000354,a000196,m078,2024-08-08 20:19:48,38.71,debit
t0000355,a000932,m075,2024-11-17 22:09:15,11.62,debit
t0000356,a000853,m051,2024-07-15 16:29:55,10.79,debit
t0000357,a000216,m043,2024-07-20 03:17:18,196.26,debit
t0000358,a000991,m046,2024-09-15 16:30:47,58.18,debit
t0000359,a000025,m075,2024-07-14 19:45:35,11.66,debit
t0000360,a001250,m022,2024-09-19 03:40:41,64.15,debit
t0000361,a000410,m034,2024-07-13 06:20:20,206.44,debit
t0000362,a001398,m082,2024-08-22 13:58:36,18.72,debit
t0000363,a001230,m063,2024-08-15 17:08:10,137.24,debit
t0000364,a001012,m007,2024-07-18 12:19:54,112.8,debit
t0000365,a000153,m094,2024-09-07 07:23:19,40.03,credit
t0000366,a000908,m035,2024-09-05 06:12:53,108.97,credit
t0000367,a001342,m021,2024-12-14 08:39:50,1.42,debit
t0000368,a001306,m063,2024-08-18 02:01:34,19.22,debit
t0000369,a000925,m014,2024-11-09 12:22:10,385.51,debit
t0000370,a001066,m051,2024-07-29 03:23:56,1.85,debit
t0000371,a001256,m020,2024-08-12 03:58:58,58.06,debit
t0000372,a000725,m019,2024-12-01 16:24:34,14.74,debit
t0000373,a000926,m058,2024-08-27 08:45:56,21.71,credit
t0000374,a000771,m045,2024-07-08 05:31:10,8.89,debit
t0000375,a000211,m052,2024-07-08 16:31:42,12.12,credit
t0000376,a001040,m079,2024-12-24 13:38:58,43.39,debit
t0000377,a001186,m071,2024-08-04 15:58:27,11.78,debit
t0000378,a001042,m012,2024-08-08 18:12:27,13.12,debit
t0000379,a000934,m071,2024-12-01 00:11:46,38.83,debit
t0000380,a001252,m043,2024-11-29 02:06:01,14.43,credit
t0000381,a000025,m048,2024-11-27 07:17:00,3.69,debit
t0000382,a001000,m059,2024-07-12 09:17:01,5.33,debit
t0000383,a001466,m012,2024-10-12 07:50:17,23.4,debit
t0000384,a000894,m053,2024-12-20 22:00:39,10.56,debit
t0000385,a000418,m027,2024-12-25 18:17:03,156.08,debit
t0000386,a000708,m041,2024-11-20 10:14:55,107.15,debit
t0000387,a000516,m093,2024-10-19 18:04:20,18.13,credit
t0000388,a001102,m083,2024-11-07 03:59:45,10.78,debit
t0000389,a000496,m083,2024-08-23 23:51:40,20.33,debit
t0000390,a001384,m072,2024-10-16 10:37:22,28.53,debit
t0000391,a000544,m006,2024-10-06 11:24:34,95.21,debit
t0000392,a000356,m065,2024-09-15 10:39:26,13.92,debit
t0000393,a000499,m022,2024-12-08 22:52:47,25.75,debit
t0000394,a001039,m036,2024-12-05 10:59:35,40.21,credit
t0000395,a000872,m094,2024-10-15 10:15:10,28.64,debit
t0000396,a001332,m082,2024-09-25 08:26:25,24.32,debit
t0000397,a000269,m066,2024-11-22 03:32:33,72.45,debit
t0000398,a000127,m002,2024-10-18 08:51:42,174.41,debit
t0000399,a000023,m072,2024-11-18 19:33:04,22.65,debit
t0000400,a000059,m097,2024-08-22 13:57:16,9.88,debit
t0000401,a000575,m081,2024-10-06 17:08:38,9.43,credit
t0000402,a000702,m072,2024-10-17 09:45:46,94.8,debit
t0000403,a000399,m033,2024-12-10 15:38:10,29.27,debit
t0000404,a000841,m027,2024-07-12 06:02:34,9.57,debit
t0000405,a001205,m074,2024-08-28 05:03:47,89.19,debit
t0000406,a000322,m100,2024-07-09 11:35:09,12.41,debit
t0000407,a001353,m036,2024-12-25 01:42:37,19.71,debit
t0000408,a000999,m073,2024-10-31 20:48:41,237.82,debit
t0000409,a000171,m093,2024-12-27 08:06:25,8.4,debit
t0000410,a001431,m025,2024-08-19 21:46:18,25.4,debit
t0000411,a000476,m075,2024-07-23 13:28:56,25.4,debit
t0000412,a001053,m088,2024-11-04 23:55:21,18.44,debit
t0000413,a001212,m014,2024-11-23 12:54:15,6.96,credit
t0000414,a000375,m062,2024-11-21 17:56:48,8.15,debit
t0000415,a000302,m075,2024-08-14 04:13:57,6.76,credit
t0000416,a001292,m098,2024-08-01 13:36:25,35.28,debit
t0000417,a001416,m090,2024-07-22 00:44:19,73.15,credit
t0000418,a001415,m064,2024-09-03 22:44:13,124.41,debit
t0000419,a001295,m058,2024-12-08 08:52:53,135.99,debit
t0000420,a000603,m050,2024-09-22 00:29:34,404.41,credit
t0000421,a000190,m025,2024-12-10 22:35:53,55.76,credit
t0000422,a000624,m034,2024-12-22 22:28:14,22.09,debit
t0000423,a000308,m057,2024-08-19 23:01:00,35.18,debit
t0000424,a001074,m016,2024-08-29 04:14:48,48.32,debit
t0000425,a000604,m070,2024-10-14 03:22:17,652.94,debit
t0000426,a000508,m063,2024-08-24 18:32:07,30.96,debit
t0000427,a001263,m077,2024-10-19 22:02:00,42.08,debit
t0000428,a000230,m029,2024-09-06 20:01:30,10.37,debit
t0000429,a000336,m079,2024-09-15 21:38:07,22.97,debit
t0000430,a001197,m081,2024-08-17 03:22:29,40.3,debit
t0000431,a001296,m029,2024-11-16 01:15:00,12.4,debit
t0000432,a000046,m013,2024-08-25 22:31:09,41.0,debit
t0000433,a001022,m038,2024-08-26 12:53:27,32.45,debit
t0000434,a000953,m045,2024-09-14 03:40:22,43.6,debit
t0000435,a001366,m067,2024-07-12 10:42:50,31.57,debit
